UPDATE_TYPE,INITIAL_POSTING_DATE,PACKAGE_NDC,GENERIC_NAME,CONTACT_INFO,AVAILABILITY,RELATED_INFO,UPDATE_DATE,THERAPEUTIC_CATEGORY,DOSAGE_FORM,PRESENTATION,COMPANY_NAME,SHORTAGE_REASON,STATUS,OPENFDA_APPLICATION_NUMBER,OPENFDA_BRAND_NAME,OPENFDA_GENERIC_NAME,OPENFDA_MANUFACTURER_NAME,OPENFDA_PRODUCT_NDC,OPENFDA_PRODUCT_TYPE,OPENFDA_ROUTE,OPENFDA_SUBSTANCE_NAME,OPENFDA_RXCUI,OPENFDA_SPL_ID,OPENFDA_SPL_SET_ID,OPENFDA_PACKAGE_NDC,OPENFDA_UNII,OPENFDA_NUI,OPENFDA_PHARM_CLASS_EPC,OPENFDA_PHARM_CLASS_PE,DISCONTINUED_DATE,RELATED_INFO_LINK,OPENFDA_PHARM_CLASS_CS,CHANGE_DATE,OPENFDA_PHARM_CLASS_MOA,RESOLVED_NOTE
Revised,10/31/2017,76045-009-11,Hydromorphone Hydrochloride Injection,888-386-1300,Unavailable,Next release not available at this time. Check wholesalers for inventory.,11/05/2025,['Analgesia/Addiction'],Injection,"Dilaudid, Injection, 1 mg/1 mL (NDC 76045-009-11)","Fresenius Kabi USA, LLC",Other,Current,['NDA019034'],['DILAUDID'],['HYDROMORPHONE HYDROCHLORIDE'],"['Fresenius Kabi USA, LLC']","['76045-009', '76045-010', '76045-121']",['HUMAN PRESCRIPTION DRUG'],"['INTRAMUSCULAR', 'INTRAVENOUS', 'SUBCUTANEOUS']",['HYDROMORPHONE HYDROCHLORIDE'],"['897756', '897757', '1433251', '1872265', '1872269', '1872752', '2277368', '2277370']",['97bfcafb-2037-47dc-a0ae-f7b8007c47df'],['9eebd88a-5632-460f-b7b6-26c8a180540d'],"['76045-009-96', '76045-009-06', '76045-009-01', '76045-009-11', '76045-010-01', '76045-010-11', '76045-121-01', '76045-121-11']",['L960UP2KRW'],,,,,,,,,
Reverified,04/10/2020,44567-603-24,Dexmedetomidine Hydrochloride Injection,WG Critical Care 888-493-0861,Available,Marketed by WG Critical Care,11/05/2025,['Anesthesia'],Injection,"Dexmedetomidine Hydrochloride, Injection, 4 ug/1 mL (NDC 44567-603-24)",HQ Specialty Pharma,,Current,['NDA206628'],['DEXMEDETOMIDINE IN DEXTROSE'],['DEXMEDETOMIDINE'],"['WG Critical Care, LLC']","['44567-603', '44567-600', '44567-601', '44567-602']",['HUMAN PRESCRIPTION DRUG'],['INTRAVENOUS'],['DEXMEDETOMIDINE HYDROCHLORIDE'],"['1718906', '1718909', '1788947']",['e6fa3e27-b374-49b6-a678-a5954f5beae8'],['0d2710f2-ee47-4114-ab5c-8dca74cdcb8d'],"['44567-600-04', '44567-601-04', '44567-602-24', '44567-603-24']",['1018WH7F9I'],,,,,,,,,
Reverified,01/01/2020,16729-483-03,Atropine Sulfate Injection,"866-941-7875, option 2",Unavailable,Discontinuation of the manufacture of the drug,11/04/2025,"['Anesthesia', 'Neurology', 'Pediatric']",Injection,"Atropine Sulfate, Injection, .05 mg/1 mL (NDC 16729-483-03)",Accord Healthcare Inc.,Discontinuation of the manufacture of the drug,Current,['ANDA212868'],['ATROPINE SULFATE'],['ATROPINE SULFATE'],"['Accord Healthcare, Inc.,']","['16729-483', '16729-484']",['HUMAN PRESCRIPTION DRUG'],['INTRAVENOUS'],['ATROPINE SULFATE'],"['1190546', '1190551', '1190552']",['4082a1cf-1e1b-6f40-e063-6294a90aec06'],['c82cb295-ffce-47d6-97ad-a8aa723f4e4f'],"['16729-483-03', '16729-483-31', '16729-484-90', '16729-484-31', '16729-484-45', '16729-484-03']",['03J5ZE7KA5'],,,,,,,,,
Reverified,07/26/2023,13811-709-10,"Methylphenidate Hydrochloride Tablet, Extended Release",800-541-4802,Limited Availability,Allocation to current contracted customers,11/06/2025,['Psychiatry'],Tablet,"Methylphenidate Hydrochloride, Tablet, Extended Release, 54 mg (NDC 13811-709-10)","Trigen Laboratories, LLC",Demand increase for the drug,Current,['ANDA205327'],['METHYLPHENIDATE HYDROCHLORIDE'],['METHYLPHENIDATE HYDROCHLORIDE'],"['Trigen Laboratories, LLC']","['13811-709', '13811-706', '13811-707', '13811-708', '13811-710']",['HUMAN PRESCRIPTION DRUG'],['ORAL'],['METHYLPHENIDATE HYDROCHLORIDE'],"['1091155', '1091170', '1091185', '1091210', '1995461']",['54f7316b-8a84-4145-aecf-f380afbf261b'],['c45dc1de-adfa-4b3c-a7dc-cffbc8eac74f'],"['13811-709-10', '13811-706-10', '13811-707-10', '13811-708-10', '13811-710-10', '13811-710-30']",['4B3SC438HI'],,,,,,,,,
Revised,03/26/2018,0409-3795-01,Ketorolac Tromethamine Injection,844-646-4398,Limited Availability,Limited Supply Available. Next Delivery: October 2025; Estimated Recovery: December 2025,10/23/2025,['Analgesia/Addiction'],Injection,"Ketorolac Tromethamine, Injection, 30 mg/1 mL (NDC 0409-3795-01)","Hospira, Inc., a Pfizer Company",Demand increase for the drug,Current,['ANDA074802'],['KETOROLAC TROMETHAMINE'],['KETOROLAC TROMETHAMINE'],"['Hospira, Inc.']","['0409-3795', '0409-3793', '0409-3796']",['HUMAN PRESCRIPTION DRUG'],"['INTRAMUSCULAR', 'INTRAVENOUS']",['KETOROLAC TROMETHAMINE'],"['860092', '1665459', '1665461']",['60f4ed51-f1c1-45d4-b43a-969678901bdd'],['8accbb78-fc64-45d5-69b0-35c23a1d2a2e'],"['0409-3793-19', '0409-3793-01', '0409-3793-25', '0409-3795-19', '0409-3795-01', '0409-3795-25', '0409-3796-19', '0409-3796-01', '0409-3796-25']",['4EVE5946BQ'],,,,,,,,,
Revised,04/28/2023,60505-6282-6,Carboplatin Injection,Apotex Inc.: 800-706-5575,"Limited Availability, Replenishment is expected 12/1/25",Wholesaler & Distributor through Marketing partner (Apotex Inc.),11/05/2025,['Oncology'],Injection,"Carboplatin, Injection, 450 mg/45 mL (10 mg/mL) Multiple Dose Vial (NDC 60505-6282-6)",Teyro Labs,Demand increase for the drug,Current,['ANDA077861'],['CARBOPLATIN'],['CARBOPLATIN'],['Apotex Corp.'],['60505-6282'],['HUMAN PRESCRIPTION DRUG'],['INTRAVENOUS'],['CARBOPLATIN'],['597195'],['0e68e276-b0df-4f03-e063-6394a90a22b9'],['1c275825-0275-4c73-b650-e4c1519f13b8'],"['60505-6282-1', '60505-6282-3', '60505-6282-6', '60505-6282-7']",['BG3F62OND5'],"['N0000175413', 'N0000175073']",['Platinum-based Drug [EPC]'],,,,,,,
Reverified,01/01/2020,16729-484-90,Atropine Sulfate Injection,"866-941-7875, option 2",Unavailable,Discontinuation of the manufacture of the drug,11/04/2025,"['Anesthesia', 'Neurology', 'Pediatric']",Injection,"Atropine Sulfate, Injection, .1 mg/1 mL (NDC 16729-484-90)",Accord Healthcare Inc.,Discontinuation of the manufacture of the drug,Current,['ANDA212868'],['ATROPINE SULFATE'],['ATROPINE SULFATE'],"['Accord Healthcare, Inc.,']","['16729-484', '16729-483']",['HUMAN PRESCRIPTION DRUG'],['INTRAVENOUS'],['ATROPINE SULFATE'],"['1190546', '1190551', '1190552']",['4082a1cf-1e1b-6f40-e063-6294a90aec06'],['c82cb295-ffce-47d6-97ad-a8aa723f4e4f'],"['16729-483-03', '16729-483-31', '16729-484-90', '16729-484-31', '16729-484-45', '16729-484-03']",['03J5ZE7KA5'],,,,,,,,,
Reverified,04/02/2020,63323-411-12,Midazolam Hydrochloride Injection,888-386-1300,Available,Check wholesalers for inventory,11/05/2025,"['Anesthesia', 'Neurology']",Injection,"Midazolam Hydrochloride, Injection, 1 mg/1 mL (NDC 63323-411-12)","Fresenius Kabi USA, LLC",,Current,['ANDA075154'],['MIDAZOLAM'],['MIDAZOLAM HYDROCHLORIDE'],"['Fresenius Kabi USA, LLC']","['63323-411', '63323-412']",['HUMAN PRESCRIPTION DRUG'],"['INTRAMUSCULAR', 'INTRAVENOUS']",['MIDAZOLAM HYDROCHLORIDE'],"['311700', '311702']",['9814447b-a93e-42ad-b57e-5db0a5b7f552'],['a91ce254-14a3-4cbf-8ab8-5da252aa3fdc'],"['63323-411-22', '63323-411-27', '63323-411-15', '63323-411-12', '63323-411-18', '63323-411-25', '63323-411-13', '63323-411-10', '63323-412-18', '63323-412-25', '63323-412-03', '63323-412-02', '63323-412-06', '63323-412-05', '63323-412-13', '63323-412-10']",['W7TTW573JJ'],,,,,,,,,
Revised,04/07/2020,36000-284-25,Furosemide Injection,888-229-0001,Available,,10/22/2025,['Cardiovascular'],Injection,"Furosemide, Injection, 10 mg/1 mL (NDC 36000-284-25)",Baxter Healthcare,,Current,['ANDA202747'],['FUROSEMIDE'],['FUROSEMIDE'],['Baxter Healthcare Corporation'],"['36000-284', '36000-063', '36000-064', '36000-065', '36000-282', '36000-283']",['HUMAN PRESCRIPTION DRUG'],['INTRAVENOUS'],['FUROSEMIDE'],"['1719286', '1719290', '1719291']",['b4c1ae97-0f6c-4ae1-858a-4e0ab8f1ce53'],['c71371a7-75c5-45b8-b762-8d782d4c71bc'],"['36000-063-05', '36000-064-05', '36000-065-05', '36000-282-25', '36000-283-25', '36000-284-25']",['7LXU5N7ZO5'],"['N0000175366', 'N0000175590']",['Loop Diuretic [EPC]'],['Increased Diuresis at Loop of Henle [PE]'],,,,,,
New,12/05/2024,63304-693-05,Clindamycin Hydrochloride Capsule,800-818-4555,,Discontinuing for business reasons,12/05/2024,['Anti-Infective'],Capsule,"Clindamycin Hydrochloride, Capsule, 300 mg (NDC 63304-693-05)",Sun Pharmaceutical Industries Limited,,To Be Discontinued,['ANDA065061'],['CLINDAMYCIN HYDROCHLORIDE'],['CLINDAMYCIN HYDROCHLORIDE'],"['Sun Pharmaceutical Industries, Inc.']","['63304-693', '63304-692']",['HUMAN PRESCRIPTION DRUG'],['ORAL'],['CLINDAMYCIN HYDROCHLORIDE'],"['197518', '284215']",['339366d4-2060-1c29-e063-6394a90a1cb7'],['1dbd8448-c1e5-46df-8060-50ef82380445'],"['63304-692-01', '63304-692-05', '63304-692-77', '63304-692-03', '63304-693-16', '63304-693-01', '63304-693-03', '63304-693-05', '63304-693-77', '63304-693-11', '63304-693-62']",['T20OQ1YN1W'],,,,12/05/2024,,,,,
